,SMILES,pChEMBL Value
17,CC(=O)N1CC[C@H](Oc2cc3c(N[C@H](C)c4cc(N)cc(C(F)(F)F)c4)nc(C)nc3cc2C)C1,8.52
181,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C(F)(F)CO)c3)c2cc1C1CCOCC1,8.52
158,Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2)c2cc([C@H]3CC[C@H](C(=O)N(C)CCO)CC3)ccc2n1,8.52
35,Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2)c2cc(C3CCS(=O)(=O)CC3)c(C)cc2n1,8.52
156,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C(F)(F)CO)c3)c2cc1O[C@H]1CCOC1,8.52
63,Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2)c2cc([C@H]3CC[C@H](C(=O)N(C)[C@H]4CCOC4)CC3)ccc2n1,8.4
67,Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2)c2cc([C@H]3CC[C@@H](C(=O)N(C)C)CC3)cc(C)c2n1,8.4
36,Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2)c2cc(C3CCS(=O)(=O)CC3)c(F)cc2n1,8.4
142,COc1cc2nc(C)nc(N[C@H](C)c3cc(N)cc(C(F)(F)F)c3)c2cc1-c1ccc(C(=O)N(C)CCO)nc1,8.4
144,COCC(=O)N1CCC(O)(c2cc3c(N[C@H](C)c4cccc(C(F)(F)F)c4F)nc(C)nc3cc2OC)CC1,8.4
18,Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2C)c2cc(C3CCS(=O)(=O)CC3)ccc2n1,8.4
148,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C(F)(F)F)c3)c2cc1C1(O)CCN(C(C)=O)CC1,8.4
26,Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2)c2cc(O[C@H]3CCN(C(=O)C4CC4)C3)c(C)cc2n1,8.4
34,COc1cc2nc(C)nc(N[C@H](C)c3cc(N)cc(C(F)(F)F)c3C)c2cc1O[C@H]1CCOC1,8.4
57,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C(F)(F)F)c3F)c2cc1C1(O)CCC(C(=O)N(C)C)CC1,8.3
119,COc1cc2nc(C)nc(N[C@H](C)c3cc(N)cc(C(F)(F)F)c3)c2cc1O[C@H]1CCOC1,8.3
177,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C(F)(F)F)c3C)c2cc1[C@H]1CC[C@H](C(=O)N(C)CCO)CC1,8.3
185,Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2)c2cc([C@H]3CC[C@H](C(=O)N4CCN(C)CC4)CC3)cc(C)c2n1,8.3
184,COc1cc2nc(C)nc(N[C@H](C)c3cc(N)cc(C(F)(F)F)c3F)c2cc1O[C@H]1CCOC1,8.3
192,COCC(=O)N1CCC(O)(c2cc3c(N[C@H](C)c4cccc(C(F)(F)F)c4)nc(C)nc3cc2OC)CC1,8.3
146,Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2)c2cc([C@H]3CC[C@H](C(=O)N(C)[C@@H]4CCOC4)CC3)ccc2n1,8.3
