,SMILES,pChEMBL Value
94,Cc1cccc([C@@H](C)Nc2nc(C)nc3cc(C)c(-c4ccc(=O)n(C)c4)cc23)c1,7.44
68,Cc1cccc([C@@H](C)Nc2nc(C)nc3ccc([C@H]4CC[C@H](C(=O)N5CC(C#N)C5)CC4)cc23)c1,7.44
207,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C(F)(F)F)c3)c2cc1-c1ccc(C(=O)N2CCOCC2)cc1,7.43
191,Cc1nc(N[C@H](C)c2cccc(C(F)(F)F)c2)c2cc(-c3ccn(CC(=O)N(C)C)c(=O)c3)ccc2n1,7.43
39,CNC(=O)Cn1cc(-c2ccc3nc(C)nc(N[C@H](C)c4cccc(C(F)(F)F)c4)c3c2)ccc1=O,7.43
151,COc1cc2nc(C)nc(N[C@H](C)c3cc(N)cc(C(F)(F)F)c3C)c2cc1[C@H]1CC[C@@H](C(=O)N(C)C)CC1,7.42
62,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C4(O)COC4)c3)c2cc1O[C@H]1CCOC1,7.42
154,Cc1cccc([C@@H](C)Nc2nc(C)nc3ccc(C4CCNCC4)cc23)c1,7.42
193,Cc1nc(N[C@H](C)c2cccc(C(F)(F)F)c2)c2cc([C@H]3CC[C@H](C(=O)N(C)C4COC4)CC3)ccc2n1,7.42
152,CNC(=O)CC(C)c1ccc2nc(C)nc(N[C@H](C)c3cccc(C(F)(F)F)c3)c2c1,7.42
179,Cc1nc(N[C@H](C)c2cccc(Cl)c2)c2cc(C3=CCNCC3)ccc2n1,7.41
56,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C)c3)c2cc1-c1ccn(CC(=O)N(C)C)c(=O)c1,7.41
174,Cc1nc(N[C@H](C)c2cccc(C(F)(F)F)c2)c2cc(-c3ccc(=O)n(CC(N)=O)c3)ccc2n1,7.4
46,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C(F)(F)F)c3)c2cc1-c1ccc(C(=O)N(C)CCO)cc1,7.4
122,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C(F)(F)F)c3)c2cc1[C@]1(O)CC[C@H](C(=O)N(C)C[C@H](C)O)CC1,7.39
58,Cc1nc(N[C@H](C)c2cccc(C(F)(F)F)c2)c2cc(-c3cnn(CC(=O)N(C)C)c3)ccc2n1,7.39
178,Cc1nc(N[C@H](C)c2cccc(C(F)(F)F)c2)c2cc(C(C)CC(=O)NCC(F)(F)F)c(C)cc2n1,7.38
110,COc1cc(-c2cc3c(N[C@H](C)c4cccc(C(F)(F)F)c4)nc(C)nc3cc2OC)ccc1C(=O)N(C)C,7.37
74,Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2)c2cc([C@H]3CC[C@@H](O)CC3)ccc2n1,7.37
198,Cc1cccc([C@@H](C)Nc2nc(C)nc3ccc(C4CCOCC4)cc23)c1,7.37
3,Cc1cccc([C@@H](C)Nc2nc(C)nc3cc(C)c(-c4ccc(C(=O)N5CCOCC5)cc4)cc23)c1,7.36
75,Cc1cccc([C@@H](C)Nc2nc(C)nc3cc(C)c(C4CCNCC4)cc23)c1,7.34
2,Cc1cccc([C@@H](C)Nc2nc(C)nc3ccc(-c4ccc(=O)n(C)c4)cc23)c1,7.34
143,COc1cc2nc(C)nc(N[C@H](C)c3cccc(S(C)(=O)=O)c3)c2cc1O[C@H]1CCOC1,7.33
42,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C(F)(F)F)c3)c2cc1-c1ccc(C(=O)N(C)C)c(C)c1,7.32
87,Cc1cccc([C@@H](C)Nc2nc(C)nc3ccc(-c4ccn(CC(=O)O)c(=O)c4)cc23)c1,7.32
104,Cc1nc(N[C@H](C)c2cccc(C(F)(F)F)c2)c2cc(-c3cnn(C4CCNCC4)c3)ccc2n1,7.32
25,Cc1nc(N[C@H](C)c2cccc(C(F)(F)F)c2)c2cc(-c3ccc(=O)[nH]c3)ccc2n1,7.32
23,Cc1cccc([C@@H](C)Nc2nc(C)nc3ccc(-c4cnn(CC(=O)N(C)C)c4)cc23)c1,7.31
166,COCCN(C)C(=O)[C@H]1CC[C@@H](c2cc3c(N[C@H](C)c4cc(N)cc(C(F)(F)F)c4)nc(C)nc3cc2OC)CC1,7.31
