,SMILES,pChEMBL Value
45,Cc1cc(Cn2c(N3CCNCC3)nc3c(C4=CCNCC4)cc(Cl)cc32)cc(C)c1F,6.6
46,Cc1cc(Cn2c(N3CCNCC3)nc3c(-c4cn[nH]c4)cc(Cl)cc32)cc(C)c1F,6.74
47,Cc1cc(Cn2c(N3CCNCC3)nc3c(N4CCC[C@@H]4CO)cc(Cl)cc32)cc(C)c1F,6.42
48,Cc1ccccc1-c1cc(Cl)cc2c1nc(N1CCNCC1)n2Cc1cc(C)c(F)c(C)c1,6.68
49,Cc1cc2nc(N3CCNCC3)n(Cc3ccc(C(F)(F)F)cc3)c2cc1C,4.71
50,Cc1cc(Cn2c(N3CCNCC3)nc3c(-c4cncnc4)cc(Cl)cc32)cc(C)c1F,6.46
51,Cc1cc2nc(N3CCNCC3)n(Cc3ccc(F)cc3)c2cc1C,5.23
52,Fc1ccc(Cn2c(N3CCNCC3)nc3ccc(C(F)(F)F)cc32)cc1Cl,5.36
53,Cc1ccc2nc(N3CCNCC3)n(Cc3ccc(F)c(Cl)c3)c2c1,5.62
54,Cc1cc(Cn2c(N3CC4(CNC4)C3)nc3c(-c4cnc(N)nc4C)cc(Cl)cc32)cc(C)c1F,5.15
55,Cc1cc(Cn2c(N3CCNCC3)nc3c(-c4cccnc4)cc(Cl)cc32)cc(C)c1F,6.48
56,Cc1cc(Cn2c(N3CCNCC3)nc3c(-c4ccccc4C(C)C)cc(Cl)cc32)cc(C)c1F,6.41
57,Cc1cc(Cn2c(N3CCNCC3)nc3c(N4CCOCC4)cc(Cl)cc32)cc(C)c1F,6.89
58,Cc1cc2nc(N3CCNCC3)n(Cc3ccc(F)c(C)c3)c2cc1C,5.39
59,CCc1ccccc1-c1cc(Cl)cc2c1nc(N1CCNCC1)n2Cc1cc(C)c(F)c(C)c1,6.68
60,Cc1nc(N)ncc1-c1cc(Cl)cc2c1nc(N1CC3(CNC3)C1)n2Cc1ccc(F)cc1,4.86
