,Molecule ChEMBL ID,Smiles
47,CHEMBL4072620,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4c(F)cccc34)n2)c(OC)cc1N(C)CC[N+](C)(C)[O-]
48,CHEMBL201463,COc1cc(C2=C(c3c(C)[nH]c4ccccc34)C(=O)NC2=O)cc(OC)c1OC
49,CHEMBL446182,COc1ccc2[nH]cc(C3=C(c4cc(OC)c(OC)c(OC)c4)C(=O)NC3=O)c2c1
50,CHEMBL372076,COc1ccc(C2=C(c3ccccc3)C(=O)NC2=O)cc1
51,CHEMBL495733,CS(=O)(=O)N1CCC[C@@H]1C#Cc1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2s1
52,CHEMBL497803,COC(=O)N1CCC[C@@H]1C#Cc1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2s1
53,CHEMBL500640,CCOC(=O)O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1
54,CHEMBL587723,CCN1CCN(Cc2ccc(-c3cc4c(N[C@H](C)c5ccccc5)ncnc4[nH]3)cc2)CC1
55,CHEMBL153409,Brc1cccc(Nc2ncnc3c2sc2ncccc23)c1
56,CHEMBL2437488,C=CC(=O)Nc1cccc(-n2c(=O)cnc3cnc(Nc4ccccc4)nc32)c1
59,CHEMBL516635,Clc1cccc(-n2cc(-c3ccccc3NCc3ccnc4ccccc34)nn2)c1
60,CHEMBL4575427,N=C1N=C(NCCS(=O)(=O)O)/C(=C/C(O)CNC(=O)c2cc(Br)c[nH]2)N1
61,CHEMBL408683,NC(=O)CN1CCC(n2cc(-c3cccc(O)c3)c3c(N)ncnc32)C1
62,CHEMBL507329,O=C(O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1)N1CCOCC1
64,CHEMBL3086102,C=CC(=O)N1CC[C@H](N2C(=O)N(c3ccccc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)c(C)c4)nc32)C1
65,CHEMBL3087193,C=CC(=O)N1CC[C@H](N2C(=O)N(c3ccccc3)Cc3cnc(Nc4ccc(C5CCN(C)CC5)cc4)nc32)C1
66,CHEMBL4557538,Cc1cc(C)c(CNc2nc(Cl)nc3c2ncn3C2CCCC2)c(=O)[nH]1
67,CHEMBL150151,COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c(C)c(CCC(=O)O)c2C)cc1
68,CHEMBL150151,COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c(C)c(CCC(=O)O)c2C)cc1
69,CHEMBL7866,COC(=O)Cn1cc(-c2cccc(Cl)c2)c(=O)c2c(O)cc(OC)cc21
70,CHEMBL259082,Cn1c(Cn2c(-c3ccc(Cl)cc3)nc3ccccc32)n[nH]c1=S
71,CHEMBL4448494,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1C(C)C
72,CHEMBL1353226,Cc1ccc2[nH]c(=O)c(=NNc3ccccc3)cnc2c1
73,CHEMBL4210744,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2cccc(N)c2)n1
74,CHEMBL4218320,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2ccccc2NC(=O)CCOCc2ccccc2)n1
75,CHEMBL4202413,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2cccc(NC(=O)COCc3ccccc3)c2)n1
76,CHEMBL4218320,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2ccccc2NC(=O)CCOCc2ccccc2)n1
77,CHEMBL4165267,C/C=C/C(=O)Nc1cc2c(N3CCc4ccccc43)ncnc2cc1O[C@@H]1CCOC1
78,CHEMBL2103840,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12
79,CHEMBL377300,Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@@H](C)O)c(C)c34)ccc2[nH]1
80,CHEMBL3545308,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3OC)ncc2C(F)(F)F)c1
81,CHEMBL3793356,O=C(Cn1cnc2cc3c(cc2c1=O)OCCO3)c1ccc(Br)cc1
82,CHEMBL94846,COc1cc(Nc2c(C#N)cnc3cc4[nH]cnc4cc23)cc(OC)c1OC
83,CHEMBL451074,O=C(O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc5c(cnn5S(=O)(=O)c5cccc(F)c5)c4)c3s2)C1)N1CCOCC1
85,CHEMBL408565,O=C1Nc2ccccc2/C1=C/c1cc2c([nH]1)CCC(Br)C2
86,CHEMBL460751,Fc1ccc(CNc2ccccc2-c2cn(-c3cccc(Cl)c3)nn2)cc1F
87,CHEMBL4173696,C/C=C/c1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(OCCCN4CCOCC4)cc23)cc1
88,CHEMBL2029434,C=CC(=O)Nc1cccc(N2C(=O)N(C(C)C)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1
89,CHEMBL3219132,C=CC(=O)Nc1cccc(N2C(=O)CN(c3ccccc3)C(=O)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1
90,CHEMBL265629,O=C1CN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c23)CCN1
91,CHEMBL398388,NC(=O)C1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c23)CC1
92,CHEMBL404115,CC[C@@H](C)Nc1nc2ccc(-c3c(-c4ccccc4F)n[nH]c3N)cc2s1
93,CHEMBL523573,COCCN1CCC[C@@H]1C#Cc1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2s1
94,CHEMBL4211322,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2ccccc2[N+](=O)[O-])n1
95,CHEMBL4218320,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2ccccc2NC(=O)CCOCc2ccccc2)n1
96,CHEMBL283201,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(CN(C)C)c(Br)c3)c2c1
97,CHEMBL168533,O=C(OCCCc1ccccc1)c1cc(NCc2cc(O)ccc2O)ccc1O
98,CHEMBL55994,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)c1cccs1
99,CHEMBL169047,O=C(OCc1ccccc1)c1cc(/N=C/c2cc(O)ccc2O)ccc1O
100,CHEMBL54788,Fc1ccc2ncnc(Nc3cccc(Br)c3)c2n1
101,CHEMBL426445,O=C(O)c1ccc2cc3nc(-c4cccs4)c(-c4cccs4)nc3cc2c1
102,CHEMBL192737,COCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
103,CHEMBL318728,c1ccc(Nc2ncc(-c3ccccc3)o2)cc1
104,CHEMBL535,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C
105,CHEMBL1242285,CC(C)n1nc(-c2cc(O)cc(Br)c2)c2c(N)ncnc21
106,CHEMBL1909349,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)nc(O[C@@H](CN)c3ccccc3)cc21.O=C(O)C(F)(F)F
107,CHEMBL1794062,COc1ccccc1Nc1ncc(-c2ccccc2)o1.Cl
108,CHEMBL505915,COc1cc2c(cc1Nc1nc(Nc3cccc(F)c3C(N)=O)c3cc[nH]c3n1)N(C(=O)CN1CCN(C(C)C)CC1)CC2
109,CHEMBL309866,N#C/C(=C\c1ccc([N+](=O)[O-])cc1)C(=O)O
110,CHEMBL304336,COc1cc2cc(-c3cccs3)cnc2cc1OC
111,CHEMBL312247,COC(=O)CCC1(CCC(=O)OC)C(S)=Nc2ccccc21
112,CHEMBL4537590,CCc1ccc(Nc2cc(NC(=O)Nc3cc(OC)cc(OC)c3)ncn2)cc1
113,CHEMBL2437299,Cc1ccc(-c2csc(=N)n2CC(=O)N2CCOCC2)cc1
114,CHEMBL2437302,N=c1scc(-c2ccc(Cl)cc2)n1CC(=O)N1CCOCC1
115,CHEMBL4464085,COc1cc(NC(=O)Nc2cc(Nc3cc(I)ccc3OC)ncn2)cc(OC)c1
116,CHEMBL4548481,COc1ccc(OC)c(Nc2cc(NC(=O)Nc3c(Cl)cccc3Cl)ncn2)c1
117,CHEMBL4554805,COc1cc(NC(=O)Nc2cc(Nc3cc(OC)cc(OC)c3)ncn2)cc(OC)c1
118,CHEMBL4098444,C=CC(=O)Nc1cc(Nc2n[nH]c3cc(-c4cn(C)c5ccccc45)ccc23)c(OC)cc1N(C)CCN(C)C
