Molecule ChEMBL ID,Standard Value,Calculated pChEMBL,index,Smiles
CHEMBL4451132,48.0,7.32,284,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C(F)(F)F)c3)c2cc1-c1ccc(C(=O)N(C)C)c(C)c1
CHEMBL4451252,25.0,7.6,326,COc1cc2nc(C)nc(N[C@H](C)c3cc(N)cc(C(F)(F)F)c3)c2cc1[C@H]1CC[C@@H](C(=O)N2CCOCC2)CC1
CHEMBL4452078,28.0,7.55,303,Cc1cccc([C@@H](C)Nc2nc(C)nc3c(C)cc(C4CCN(C5CCOC5)CC4)cc23)c1
CHEMBL4452192,33.0,7.48,452,Cc1nc(N[C@H](C)c2cccc(C(F)(F)F)c2)c2cc(C3CCOCC3)ccc2n1
CHEMBL4453639,40.0,7.4,485,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C(F)(F)F)c3)c2cc1-c1ccc(C(=O)N(C)CCO)cc1
CHEMBL4453641,18.0,7.74,580,Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2)c2cc(-c3ccc(=O)n(C)c3)c(F)cc2n1
CHEMBL4455004,9.0,8.05,4,COCC(=O)N1CCC(O)(c2ccc3nc(C)nc(N[C@H](C)c4cccc(C(F)(F)F)c4)c3c2)CC1
CHEMBL4455684,28.0,7.55,162,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C)c3)c2cc1-c1ccc(=O)[nH]c1
CHEMBL4455700,22.0,7.66,626,COCC(=O)N1CCC(c2ccc3nc(C)nc(N[C@H](C)c4cccc(C)c4)c3c2)CC1
CHEMBL4456066,2.0,8.7,404,COCC(=O)N1CCC(c2cc3c(N[C@H](C)c4cccc(C(F)(F)CO)c4)nc(C)nc3cc2OC)CC1
CHEMBL4456108,9.0,8.05,504,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C)c3)c2cc1[C@H]1CC[C@H](C(=O)N(C)C)CC1
CHEMBL4456153,3.0,8.52,120,Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2)c2cc([C@H]3CC[C@H](C(=O)N(C)CC(C)(C)O)CC3)ccc2n1
CHEMBL4456180,27.0,7.57,153,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C)c3)c2cc1-c1ccc(=O)n(CC(=O)N(C)C)c1
CHEMBL4456784,27.0,7.57,413,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C(F)(F)F)c3)c2cc1C1CCC(C(=O)N(C)CC(O)CO)CC1
CHEMBL4457382,39.0,7.41,479,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C)c3)c2cc1-c1ccn(CC(=O)N(C)C)c(=O)c1
CHEMBL4459389,5.0,8.3,617,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C(F)(F)F)c3F)c2cc1C1(O)CCC(C(=O)N(C)C)CC1
