,Compound_ID,SMILES,Calculated pChEMBL
34,29,CC1=NC2=CC(OC[C@@H]3N4CCN(C(N(C)C)=O)C3)=C4C=C2C(N[C@H](C)C5=CC=CC(C(F)F)=C5F)=N1,8.54
35,30,CC1=NC2=CC(OC[C@@H]3N4CCN(C(C(C)(C)C)=O)C3)=C4C=C2C(N[C@H](C)C5=CC=CC(C(F)F)=C5F)=N1,7.85
36,31,CC1=NC2=CC(OC[C@@H]3N4CCN(C(C5CC5)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1,9.05
37,32,CC1=NC2=CC(OC[C@@H]3N4CCN(C(C5(C)CC5)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1,8.05
38,33,CC1=NC2=CC(OC[C@@H]3N4CCN(C(C5(F)CC5)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1,8.1
39,34,CC1=NC2=CC(OC[C@@H]3N4CCN(C([C@@H]5C[C@H]5F)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1,7.6
40,35,CC1=NC2=CC(OC[C@@H]3N4CCN(C([C@@H]5C[C@@H]5F)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1,7.8
41,36,CC1=NC2=CC(OC[C@@H]3N4CCN(C(C5CC5(F)F)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1,7.68
42,37,CC1=NC2=CC(OC[C@@H]3N4CCN(C(C5(C#N)CC5)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1,8.3
43,38,CC1=NC2=CC(OC[C@@H]3N4CCN(C(C5(COC)CC5)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1,7.6
44,39,CC1=NC2=CC(OC[C@@H]3N4CCN(C(C5C(C)(C)C5(C)C)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1,6.44
45,41,CC1=NC2=CC(OC[C@@H]3N4CCN(C(C5COC5)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1,8.77
46,42,CC1=NC2=CC(OC[C@@H]3N4CCN(C(C5CCO5)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1,8.22
47,43,CC1=NC2=CC(OC[C@@H]3N4CCN(C([C@@H]5CCOC5)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1,7.66
48,44,CC1=NC2=CC(OC[C@@H]3N4CCN(C([C@H]5CCOC5)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1,7.59
49,45,CC1=NC2=CC(OC[C@@H]3N4CCN(C([C@H]5CCCN5C)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1,6.98
50,46,CC1=NC2=CC(OC[C@@H]3N4CCN(C(C5=CC=NN5)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1,6.42
51,47,CC1=NC2=CC(OC[C@@H]3N4CCN(C(C5=CC=CN5C)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1,6.16
