Calculated pChEMBL
4.79
3.48
4.79
5.01
3.46
4.54
4.2
4.63
4.99
4.6
5.07
5.85
4.43
5.23
5.36
4.85
5.35
6.1
5.02
4.6
4.82
5.8
6.1
5.54
4.95
4.88
5.17
6.1
5.21
4.8
5.11
5.51
6.7
4.95
4.91
6.62
5.72
4.71
4.59
4.59
5.52
6.35
6.36
6.85
6.82
6.6
6.74
6.42
6.68
4.71
6.46
5.23
5.36
5.62
5.15
6.48
6.41
6.89
5.39
6.68
4.86
5.98
6.62
5.07
4.76
5.09
5.12
4.44
5.89
4.6
6.41
5.27
4.61
6.57
4.8
6.52
4.93
5.47
5.23
5.45
5.18
5.25
5.04
4.43
5.43
4.93
6.62
6.17
5.08
6.0
4.91
6.51
4.92
5.21
4.66
5.15
5.57
5.38
5.96
5.6
4.35
4.79
5.74
5.52
5.18
5.19
4.88
5.6
5.7
5.11
8.1
8.52
7.34
7.36
8.22
8.0
7.89
7.77
8.7
7.82
7.47
7.7
7.55
7.74
7.6
7.47
8.52
8.52
8.4
9.0
8.52
7.7
7.54
7.31
7.72
7.32
8.4
8.15
7.66
7.47
7.59
7.47
7.64
8.15
7.47
8.4
8.52
8.4
7.57
8.7
8.22
7.43
8.7
7.74
7.32
7.6
7.55
7.48
7.4
7.74
8.05
7.55
7.66
8.7
8.05
8.52
7.57
7.57
7.41
8.3
7.39
4.56
8.52
7.62
8.05
7.42
8.4
7.89
8.52
7.96
8.4
7.44
8.22
8.1
8.15
7.92
8.7
7.37
7.34
8.15
8.1
8.15
7.47
7.74
7.62
7.47
7.72
8.7
8.15
7.74
7.32
7.89
8.15
7.47
8.7
7.74
7.96
7.44
8.1
7.68
8.7
7.54
8.52
7.52
8.7
4.82
4.36
8.52
8.7
7.32
7.59
8.0
8.52
7.57
7.96
7.37
7.46
8.7
7.6
7.7
7.49
8.1
8.22
8.05
8.3
7.96
8.7
7.39
4.31
7.68
7.66
7.85
7.64
8.0
8.7
4.97
8.7
8.22
7.57
7.62
4.41
8.0
8.52
4.08
5.42
4.3
8.22
4.27
8.52
7.74
7.59
8.7
8.52
8.1
8.4
7.33
8.4
8.05
8.3
8.52
8.4
8.4
8.1
8.15
7.42
4.34
7.42
7.7
7.42
8.7
4.79
8.52
8.3
8.0
8.52
7.77
8.7
8.1
8.7
8.15
8.05
8.05
7.31
8.7
7.66
4.4
7.8
4.6
7.66
7.64
8.1
7.92
7.4
7.7
7.74
8.3
7.38
7.41
7.52
8.52
8.15
7.6
8.3
8.3
8.22
8.22
7.46
4.7
8.1
7.82
7.43
8.3
7.42
8.52
8.1
7.46
8.0
7.37
8.7
8.15
8.05
8.52
7.59
8.7
7.89
8.7
7.43
8.0
8.7
4.13
4.85
4.88
2.72
4.16
4.61
4.72
4.06
5.09
2.92
4.07
5.54
4.55
4.2
4.02
2.85
4.1
4.06
5.49
5.19
4.1
3.22
4.61
5.0
4.13
5.17
4.64
5.13
4.05
4.52
4.21
3.14
5.04
4.79
5.41
5.07
