,Calculated pChEMBL,Predictive Results,,Compound_ID,SMILES
32,7.82,7.731678214,,27,CC1=NC2=CC(OC[C@@H]3N4CCN(C(NC)=O)C3)=C4C=C2C(N[C@H](C)C5=CC=CC(C(F)F)=C5F)=N1
33,7.49,7.793740833,,28,CC1=NC2=CC(OC[C@@H]3N4CCN(C(NCC)=O)C3)=C4C=C2C(N[C@H](C)C5=CC=CC(C(F)F)=C5F)=N1
34,8.54,7.783394881,,29,CC1=NC2=CC(OC[C@@H]3N4CCN(C(N(C)C)=O)C3)=C4C=C2C(N[C@H](C)C5=CC=CC(C(F)F)=C5F)=N1
35,7.85,7.826507857,,30,CC1=NC2=CC(OC[C@@H]3N4CCN(C(C(C)(C)C)=O)C3)=C4C=C2C(N[C@H](C)C5=CC=CC(C(F)F)=C5F)=N1
36,9.05,7.805196786,,31,CC1=NC2=CC(OC[C@@H]3N4CCN(C(C5CC5)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1
37,8.05,7.760018929,,32,CC1=NC2=CC(OC[C@@H]3N4CCN(C(C5(C)CC5)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1
38,8.1,7.671382024,,33,CC1=NC2=CC(OC[C@@H]3N4CCN(C(C5(F)CC5)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1
39,7.6,7.9216975,,34,CC1=NC2=CC(OC[C@@H]3N4CCN(C([C@@H]5C[C@H]5F)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1
40,7.8,7.820857024,,35,CC1=NC2=CC(OC[C@@H]3N4CCN(C([C@@H]5C[C@@H]5F)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1
41,7.68,7.78456131,,36,CC1=NC2=CC(OC[C@@H]3N4CCN(C(C5CC5(F)F)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1
42,8.3,7.809427143,,37,CC1=NC2=CC(OC[C@@H]3N4CCN(C(C5(C#N)CC5)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1
43,7.6,7.775334643,,38,CC1=NC2=CC(OC[C@@H]3N4CCN(C(C5(COC)CC5)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1
44,6.44,7.806791548,,39,CC1=NC2=CC(OC[C@@H]3N4CCN(C(C5C(C)(C)C5(C)C)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1
45,8.77,7.730434286,,41,CC1=NC2=CC(OC[C@@H]3N4CCN(C(C5COC5)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1
46,8.22,7.687192143,,42,CC1=NC2=CC(OC[C@@H]3N4CCN(C(C5CCO5)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1
47,7.66,7.755515476,,43,CC1=NC2=CC(OC[C@@H]3N4CCN(C([C@@H]5CCOC5)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1
48,7.59,7.72558869,,44,CC1=NC2=CC(OC[C@@H]3N4CCN(C([C@H]5CCOC5)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1
49,6.98,7.823399524,,45,CC1=NC2=CC(OC[C@@H]3N4CCN(C([C@H]5CCCN5C)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1
50,6.42,7.74311619,,46,CC1=NC2=CC(OC[C@@H]3N4CCN(C(C5=CC=NN5)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1
51,6.16,7.738971429,,47,CC1=NC2=CC(OC[C@@H]3N4CCN(C(C5=CC=CN5C)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1
52,7.74,6.081350357,,48,N/C(C)=N\C1=CC(OC[C@@H]2N3CCN(C(C4CCOCC4)=O)C2)=C3C=C1CN[C@H](C)C5=CC=CC(C(F)F)=C5F
53,7.01,7.81105631,,49,CC1=NC2=CC(OC[C@@H]3N4CCN(C(C5CCN(C)CC5)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1
54,8.01,7.763902857,,50,CC1=NC2=CC(OC[C@@H]3N4CCN(C(N5CCOCC5)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1
55,7,7.762448571,,51,CC1=NC2=CC(OC[C@@H]3N4CCN(C(N5CCN(C)CC5)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1
56,7.07,7.774155238,,52,CC1=NC2=CC(OC[C@@H]3N4CCN(C)C3)=C4C=C2C(N[C@H](C)C5=CC=CC(C(F)F)=C5F)=N1
57,6.77,7.69698631,,53,CC1=NC2=CC(OC[C@@H]3N4CCN(C(C)C)C3)=C4C=C2C(N[C@H](C)C5=CC=CC(C(F)F)=C5F)=N1
58,7.01,7.863788333,,54,CC1=NC2=CC(OC[C@@H]3N4CCN(CCOC)C3)=C4C=C2C(N[C@H](C)C5=CC=CC(C(F)F)=C5F)=N1
59,7.1,7.696797738,,55,CC1=NC2=CC(OC[C@@H]3N4CCN(S(C)(=O)=O)C3)=C4C=C2C(N[C@H](C)C5=CC=CC(C(F)F)=C5F)=N1
60,6.53,7.796050714,,56,CC1=NC2=CC(OC[C@@H]3N4CCN(CC(N(C)C)=O)C3)=C4C=C2C(N[C@H](C)C5=CC=CC(C(F)F)=C5F)=N1
61,7.02,7.776510476,,57,CC1=NC2=CC(OC[C@@H]3N4CCN(C5COC5)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1
62,6.78,7.73676119,,58,CC1=NC2=CC(OC[C@@H]3N4CCN(C5CN(C)C5)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1
63,7.24,7.8383775,,59,CC1=NC2=CC(OC[C@@H]3N4CCN(C5CCOCC5)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1
64,7,7.678789762,,60,CC1=NC2=CC(OC[C@@H]3N4CCN(C5=NC=C(F)C=N5)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1
65,6.02,6.121322381,,8,COC1=C(OC)C=C(C=NN=C2N[C@@H](C3=CC=CC(C(F)(F)F)=C3)C)C2=C1
66,6.42,6.358274048,,10,COC1=C(OC)C=C(C=NN=C2N[C@@H](C3=CC=CC(C(F)(F)F)=C3C)C)C2=C1
67,6.78,5.843307857,,11,CNCC1=C(C2=CSC([C@@H](C)NC3=NN=CC4=CC(OC)=C(OC)C=C43)=C2)C=CC=C1
68,6.6,5.885647024,,12,COC1=C(OC)C=C(C(C)=NN=C2N[C@@H](C3=CC(C4=C(CNC)C=CC=C4)=CS3)C)C2=C1
69,6.71,6.236811786,,13,COC1=C(OC)C=C(C(C)=NN=C2N[C@@H](C3=CC=CC(C(F)(F)F)=C3C)C)C2=C1
70,7.24,6.148689286,,14,CC1=C(C(F)(F)F)C=CC=C1[C@@H](C)NC2=NN=C(C)C3=CC=C(N(C)C)C=C32
71,7.34,6.283792738,,15,CC1=NN=C(N[C@H](C)C2=CC=CC(C(F)(F)F)=C2C)C3=CC(N4CCNCC4)=CC=C31
72,6.74,6.425501667,,16,CC1=C(C(F)(F)F)C=CC=C1[C@H](NC2=NN=C(C)C3=CC=C(C4CCNCC4)C=C23)C
73,7.13,6.200358571,,17,CC1=NN=C(N[C@H](C)C2=CC=CC(C(F)(F)F)=C2C)C3=CC(N4CC(N(C)CC4)=O)=CC=C31
74,6.75,6.431361667,,20,CN(C)C1=NN=C(C2=CC(N3CCNCC3)=CC=C12)N[C@H](C)C4=CC=CC(C(F)(F)F)=C4C
75,6.94,6.555536429,,21,O=C1NN=C(C2=CC(N3CCNCC3)=CC=C12)N[C@H](C)C4=CC=CC(C(F)(F)F)=C4C
76,6.06,6.426301786,,22,C[C@H](C1=CC=CC(C(F)(F)F)=C1C)NC2=NN(C)C(C3=CC=C(N4CCNCC4)C=C32)=O
77,7.52,6.347267857,,23,C[C@H](C1=CC=CC(C(F)(F)F)=C1C)NC2=NN=C(C)C3=CN=C(N4CCNCC4)C=C32
78,7.59,6.209554048,,24,C[C@H](C1=CC=CC(C(F)(F)F)=C1C)NC2=NN=C(C)C3=CN=C(N4CCOCC4)C=C32
79,7.6,6.24142381,,25,FC1=C(C(F)(F)F)C=CC=C1[C@@H](C)NC2=NN=C(C)C3=CN=C(N4CCOCC4)C=C32
80,6.73,5.992098452,,26,C[C@H](C1=CC=CC(C(F)(F)F)=N1)NC2=NN=C(C)C3=CN=C(N4CCOCC4)C=C32
81,6.68,6.0793075,,27,NC1=CC(C(F)(F)F)=NC([C@@H](C)NC2=NN=C(C)C3=CN=C(N4CCOCC4)C=C32)=C1
82,5.89,5.938360714,,28,C[C@H](C1=CC=CN=C1C)NC2=NN=C(C)C3=CN=C(N4CCOCC4)C=C32
83,5.48,5.836834643,,29,C[C@H](C1=CN(C)N=C1C)NC2=NN=C(C)C3=CN=C(N4CCOCC4)C=C32
84,5.94,6.059039881,,30,C[C@H](C1=CN(C)N=C1C(F)(F)F)NC2=NN=C(C)C3=CN=C(N4CCOCC4)C=C32
85,6.94,5.909349048,,31,CC1=C(Br)C=CC=C1[C@@H](C)NC2=NN=C(C)C3=C2C=C(N4CCOCC4)N=C3
86,7.54,5.934644405,,32 (MRTX0902),CC1=C(C#N)C=CC=C1[C@@H](C)NC2=NN=C(C)C3=CN=C(N4CCOCC4)C=C32
87,6.62,6.009827262,,33,C[C@H](C1=CC=CC(S(=O)(C)=O)=C1C)NC2=NN=C(C)C3=CN=C(N4CCOCC4)C=C32
88,6.48,6.196881429,,34,C[C@H](C1=CC=CC(C#N)=C1)NC2=NN=C(C)C3=CN=C(N4CCOCC4)C=C32
89,6.92,5.969669881,,35,CC1=C(C#N)C=CC=C1[C@@H](C)NC2=NN=C(C)C3=CC(F)=C(N4CCOCC4)C=C32
90,6.54,5.898924881,,36,CC1=C(C#N)C=CC=C1[C@@H](C)NC2=NN=C(C)C3=CC(Cl)=C(N4CCOCC4)C=C32
91,6.31,5.977360357,,37,CC1=C(C#N)C=CC=C1[C@@H](C)NC2=NN=C(C)C3=CC(C#N)=C(N4CCOCC4)C=C32
92,6.11,6.151713214,,38,CC1=C(C#N)C=CC=C1[C@@H](C)NC2=NN=C(C)C3=CC(C(F)(F)F)=C(N4CCOCC4)C=C32
93,7.15,6.271120833,,RMC0331,O=C(N1CC2=NC(Cl)=NC(N[C@@H](C3=CC(C(F)(F)F)=CC(N)=C3)C)=C2C1)C4(OC)CCOCC4
94,7.46,7.58347119,,,
95,5.13,4.724402143,,,
96,8.3,8.144268571,,,
97,5.18,5.434054167,,,
98,7.37,7.522770952,,,
99,8.3,8.27485369,,,
100,7.55,7.457119048,,,
101,8.52,7.926820595,,,
102,7.44,7.637056905,,,
103,5.23,4.833156071,,,
104,8.7,8.247981786,,,
105,7.85,7.682338333,,,
106,8.3,8.135975476,,,
107,4.71,4.781540119,,,
108,6.46,6.472010119,,,
109,7.4,7.554961667,,,
110,6.52,6.062556905,,,
111,7.52,7.63493881,,,
112,8.1,8.165855476,,,
113,8.4,8.199600357,,,
114,7.46,8.322825238,,,
115,6.68,6.332664881,,,
116,4.61,4.251357857,,,
117,7.47,7.702949048,,,
118,5.27,5.277299881,,,
119,8.52,8.263607024,,,
120,8.52,8.37345119,,,
121,7.66,7.50902381,,,
122,8.1,7.769645714,,,
123,8.7,8.39581,,,
124,7.6,8.378662143,,,
125,7.44,7.515187976,,,
126,7.57,7.814836905,,,
127,8.7,8.243311786,,,
128,7.54,7.626452976,,,
129,4.82,5.583941905,,,
130,4.82,4.782902262,,,
131,8.7,8.394498214,,,
