Compound_ID,SMILES,Calculated pChEMBL,DLD-1 p-ERK inhibition IC50 [nM]
47,CC1=NC2=CC(OC[C@@H]3N4CCN(C(C5=CC=CN5C)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1,6.16,691
48,N/C(C)=N\C1=CC(OC[C@@H]2N3CCN(C(C4CCOCC4)=O)C2)=C3C=C1CN[C@H](C)C5=CC=CC(C(F)F)=C5F,7.74,18
49,CC1=NC2=CC(OC[C@@H]3N4CCN(C(C5CCN(C)CC5)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1,7.01,98
50,CC1=NC2=CC(OC[C@@H]3N4CCN(C(N5CCOCC5)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1,8.01,9.7
51,CC1=NC2=CC(OC[C@@H]3N4CCN(C(N5CCN(C)CC5)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1,7,99
52,CC1=NC2=CC(OC[C@@H]3N4CCN(C)C3)=C4C=C2C(N[C@H](C)C5=CC=CC(C(F)F)=C5F)=N1,7.07,86
53,CC1=NC2=CC(OC[C@@H]3N4CCN(C(C)C)C3)=C4C=C2C(N[C@H](C)C5=CC=CC(C(F)F)=C5F)=N1,6.77,168
54,CC1=NC2=CC(OC[C@@H]3N4CCN(CCOC)C3)=C4C=C2C(N[C@H](C)C5=CC=CC(C(F)F)=C5F)=N1,7.01,97
55,CC1=NC2=CC(OC[C@@H]3N4CCN(S(C)(=O)=O)C3)=C4C=C2C(N[C@H](C)C5=CC=CC(C(F)F)=C5F)=N1,7.1,79
56,CC1=NC2=CC(OC[C@@H]3N4CCN(CC(N(C)C)=O)C3)=C4C=C2C(N[C@H](C)C5=CC=CC(C(F)F)=C5F)=N1,6.53,295
57,CC1=NC2=CC(OC[C@@H]3N4CCN(C5COC5)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1,7.02,96
58,CC1=NC2=CC(OC[C@@H]3N4CCN(C5CN(C)C5)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1,6.78,166
59,CC1=NC2=CC(OC[C@@H]3N4CCN(C5CCOCC5)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1,7.24,57
60,CC1=NC2=CC(OC[C@@H]3N4CCN(C5=NC=C(F)C=N5)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1,7,99
